,User ID,mostRelevantField,mostRelevantUni,highestDegree
660,151126,Biology,Other,Other
661,151127,Business,Other,Masters
662,151147,Other,Harvard,Masters
663,151160,Other,Harvard,Masters
664,151170,Other,MIT,MBA
665,151174,Other,Other,Masters
666,151176,Biology,Other,Bachelors
667,151177,Other,Harvard,Masters
668,151182,Other,MIT,Bachelors
669,151188,Other,Harvard,Masters
670,151195,CS,Harvard,Bachelors
671,151201,Other,MIT,Bachelors
672,151202,Other,MIT,Masters
673,151204,Other,Other,Bachelors
674,151228,Other,Other,Bachelors
675,151232,Other,Other,Bachelors
676,151238,Mechanical Eng,Other,PhD
677,151239,CS,Other,Masters
678,151241,Biology,Harvard,PhD
679,151242,Business,Other,Bachelors
680,151243,Finance,Other,Bachelors
681,151245,Other,Other,Bachelors
682,151258,Other,Harvard,Masters
683,151260,Mechanical Eng,Other,Other
684,151261,Other,BU,Masters
685,151265,Finance,Other,Other
686,151266,CS,Other,Bachelors
687,151269,Finance,Other,Masters
688,151270,Finance,MIT,Masters
689,151271,Business,Other,Masters
690,151272,Other,Northeastern,Masters
691,151283,AI,Other,PhD
692,151288,Other,Other,Masters
693,151313,Other,Hult Business,MBA
694,151355,Other,Harvard,Masters
695,151357,Other,MIT,MBA
696,151364,Business,Other,Masters
697,151371,Other,Harvard,Masters
698,151374,Business,MIT,Masters
699,151377,Electrical Eng,Other,Masters
700,151384,Mechanical Eng,Other,Masters
701,151387,Other,Harvard,Masters
702,151394,Biology,Other,Masters
703,151400,Mechanical Eng,MIT,Masters
704,151409,Chemistry,Other,Bachelors
705,151411,Other,Harvard,Masters
706,151413,Biology,Other,Other
707,151418,Business,MIT,Masters
708,151419,Business,Other,Bachelors
709,151423,Other,MIT,Masters
710,151424,Business,Hult Business,Bachelors
711,151430,Business,Hult Business,Bachelors
712,151440,Other,Other,Masters
713,151441,Mechanical Eng,Other,Bachelors
714,151452,Finance,Dartmouth,Bachelors
715,151454,CS,Dartmouth,Bachelors
716,151460,Other,Other,Other
717,151462,CS,Tufts,Bachelors
718,151463,Finance,Dartmouth,Bachelors
719,151469,Data Science,Dartmouth,Bachelors
720,151471,Other,MIT,Masters
721,151474,Other,Other,Other
722,151483,Law,Harvard,Masters
723,151484,Law,Other,Masters
724,151490,Law,Harvard,Masters
725,151493,Law,Harvard,Masters
726,151494,Mechanical Eng,MIT,Bachelors
727,151502,Business,MIT,Masters
728,151504,Law,Harvard,Masters
729,151507,Other,Dartmouth,Bachelors
730,151508,Other,Dartmouth,Bachelors
731,151509,Biology,Northeastern,Bachelors
732,151510,Finance,Other,Bachelors
733,151512,Law,Harvard,Masters
734,151514,Other,Dartmouth,Bachelors
735,151516,Law,Other,Masters
736,151519,Law,Harvard,Masters
737,151521,Other,Harvard,Bachelors
738,151525,Other,Other,PhD
739,151571,Other,Other,Bachelors
740,151730,Biology,Other,PhD
741,151774,Law,Harvard,Masters
742,151786,Other,Other,Masters
743,151811,Business,Tufts,Masters
744,151826,Biology,Other,Other
745,151834,Biology,Other,PhD
746,151842,Business,Other,Other
747,151851,Law,Harvard,Masters
748,151854,Physics,Other,Other
749,151878,Law,Other,Masters
750,151891,CS,BU,Masters
751,151898,Law,Harvard,Masters
752,151905,Law,Harvard,Masters
753,151924,Law,Other,PhD
754,151927,Law,Harvard,PhD
755,151931,Business,Other,Other
756,151936,CS,Other,Bachelors
757,151972,CS,Other,Bachelors
758,151985,Biology,Other,Other
759,151992,Business,MIT,Masters
760,151998,Other,Other,Bachelors
761,152002,Business,MIT,Masters
762,152010,CS,Other,Bachelors
763,152015,Electrical Eng,MIT,Bachelors
764,152029,Other,Harvard,Masters
765,152034,Business,Other,Masters
766,152053,Business,MIT,Masters
767,152062,Other,Other,Other
768,152071,CS,Northeastern,Masters
769,152073,Other,Other,Masters
770,152074,Other,Northeastern,Masters
771,152078,Business,MIT,Masters
772,152079,Law,Harvard,Masters
773,152081,Electrical Eng,Other,Bachelors
774,152102,Business,Other,Bachelors
775,152104,Other,Harvard,Masters
776,152118,Other,Dartmouth,Bachelors
777,152120,Other,Other,Masters
778,152136,Finance,Other,Bachelors
779,152143,Other,Other,Other
780,152145,Other,Other,Bachelors
781,152146,Business,Harvard,Bachelors
782,152147,Business,MIT,Masters
783,152148,Business,Other,Bachelors
784,152150,CS,Harvard,Bachelors
785,152151,Other,MIT,Masters
786,152153,Mechanical Eng,MIT,Bachelors
787,152154,Law,Harvard,Masters
788,152155,Business,MIT,Masters
789,152157,Other,Harvard,Bachelors
790,152159,Finance,MIT,Masters
791,152162,Other,Harvard,Bachelors
792,152163,CS,Other,Bachelors
793,152218,Business,Other,Other
794,152221,CS,Other,Masters
795,152278,Other,Harvard,Bachelors
796,152345,Chemistry,MIT,Masters
797,152358,Mechanical Eng,NYU,PhD
798,152381,Other,Harvard,Bachelors
799,152386,Finance,MIT,Masters
800,152397,Other,Other,Masters
801,152406,Biology,Other,Other
802,152410,Other,Other,PhD
803,152416,Business,Other,Masters
804,152439,CS,MIT,Masters
805,152442,Chemistry,MIT,PhD
806,152460,Biology,Other,PhD
807,152469,Business,Other,Bachelors
808,152472,Biology,Other,Other
809,152476,CS,Other,Other
810,152485,Other,Other,Other
811,152487,Finance,Other,Masters
812,152493,CS,Other,Other
813,152501,Other,MIT,PhD
814,152504,Mechanical Eng,MIT,PhD
815,152507,Business,MIT,Masters
816,152510,CS,BU,Masters
817,152517,CS,Harvard,Masters
818,152520,Mechanical Eng,Other,Bachelors
819,152530,Physics,Other,Other
820,152531,Other,Harvard,Bachelors
821,152532,CS,Other,Bachelors
822,152546,Finance,Other,Bachelors
823,152559,Other,Other,Bachelors
824,152562,Mechanical Eng,Other,Bachelors
825,152593,CS,Other,Bachelors
826,152599,Other,MIT,MBA
827,152601,Physics,Other,Masters
828,152606,Other,MIT,MBA
829,152607,CS,Other,Bachelors
830,152610,Other,Tufts,Bachelors
831,152613,Electrical Eng,MIT,Bachelors
832,152620,Other,Other,Other
833,152622,Biology,Other,Masters
834,152626,Biology,Other,Other
835,152628,Other,Other,Other
836,152629,CS,Other,Masters
837,152638,Other,Other,Other
838,152641,Other,Other,Bachelors
839,152649,Other,Other,Masters
840,152685,Physics,BU,PhD
841,152691,Finance,Hult Business,Bachelors
842,152695,Business,Harvard,Masters
843,152697,Business,Other,Masters
844,152699,Other,Harvard,Masters
845,152703,Business,Other,Masters
846,152704,CS,Other,Bachelors
847,152743,Finance,Other,Other
848,152765,Biology,Other,Other
849,152877,AI,Other,Other
850,152895,Finance,Other,Bachelors
851,153128,Other,Harvard,Masters
852,153166,Biology,Other,PhD
853,153218,Biology,Other,PhD
854,153294,Other,Harvard,PhD
855,153303,Biology,Other,Other
856,153314,Mechanical Eng,Harvard,Bachelors
857,153320,Biology,Other,Bachelors
