,mostRelevantField,mostRelevantUni,highestDegree
569,Business,Northeastern,Masters
570,Business,Northeastern,Masters
571,Data Science,Other,Bachelors
572,Business,Tufts,Masters
573,CS,MIT,Bachelors
574,Other,Other,Bachelors
575,Finance,Other,Bachelors
576,Mechanical Eng,MIT,Postdoc
577,Business,UMass Boston,MBA
578,Other,Other,Masters
579,CS,BU,Masters
580,Biology,Other,Postdoc
581,Other,Other,Bachelors
582,Other,MIT,Masters
583,CS,Other,Masters
584,Data Science,Northeastern,Masters
585,Mechanical Eng,Other,Bachelors
586,CS,MIT,Bachelors
587,Data Science,Northeastern,Masters
588,Data Science,Northeastern,Masters
589,Data Science,Northeastern,Masters
590,Mechanical Eng,Northeastern,Bachelors
591,Other,Northeastern,Masters
592,Biology,MIT,Other
593,Other,Other,Bachelors
594,Other,MIT,Masters
595,Other,Other,Masters
596,Data Science,Hult Business,Masters
597,Biology,MIT,Bachelors
598,Data Science,Northeastern,Masters
599,Other,BU,Other
600,Biology,BU,Other
601,Other,Other,Bachelors
602,Biology,Tufts,Bachelors
603,Mechanical Eng,Other,Bachelors
604,Physics,Other,Bachelors
605,CS,Northeastern,Masters
606,CS,Northeastern,Masters
607,Business,Other,Masters
608,Biology,Tufts,Bachelors
609,CS,Northeastern,Bachelors
610,Business,MIT,Masters
611,CS,Northeastern,Masters
612,CS,Other,Other
613,Policital Sci,Other,Bachelors
614,Business,Other,MBA
615,Data Science,Northeastern,Masters
616,CS,Northeastern,Masters
617,CS,BU,Masters
618,Other,Other,Masters
619,AI,MIT,PhD
620,Other,Northeastern,Masters
621,Biology,Other,PhD
622,Biology,Other,Bachelors
623,Mechanical Eng,MIT,Other
624,CS,MIT,Bachelors
625,Other,Northeastern,Masters
626,Business,Other,PhD
627,Biology,Tufts,Bachelors
628,Electrical Eng,Other,Bachelors
629,Other,Northeastern,Masters
630,Data Science,Northeastern,Masters
631,CS,NYU,Bachelors
632,Other,Other,Postdoc
633,Other,Other,Postdoc
634,Data Science,MIT,Masters
635,Other,MIT,Postdoc
636,Other,MIT,Postdoc
637,Data Science,Northeastern,Masters
638,Business,Northeastern,Bachelors
639,Business,Northeastern,Bachelors
640,Business,Northeastern,MBA
641,Industrial Eng,Northeastern,Masters
642,CS,Northeastern,Masters
643,Business,NYU,Masters
644,Biology,Other,Postdoc
645,Other,Other,Bachelors
646,Other,Other,Bachelors
647,Other,BU,Masters
648,CS,Northeastern,Masters
649,Finance,Other,Bachelors
650,Business,MIT,MBA
651,Other,Tufts,Bachelors
652,Other,Other,Postdoc
653,CS,Other,Bachelors
654,Other,Other,Bachelors
655,Biology,MIT,PhD
656,Business,BU,Bachelors
657,Other,Other,Masters
658,CS,Other,Bachelors
659,Electrical Eng,NYU,Masters
660,Data Science,Northeastern,Masters
661,CS,Northeastern,Masters
662,Biology,Northeastern,Masters
663,CS,Northeastern,Masters
664,Business,Northeastern,Masters
665,Finance,BU,Bachelors
666,Business,MIT,Masters
667,Business,BU,Bachelors
668,Other,Northeastern,Masters
669,CS,Northeastern,Masters
670,AI,Northeastern,Masters
671,AI,BU,Masters
672,AI,Northeastern,Bachelors
673,CS,Northeastern,Masters
674,Industrial Eng,Other,Masters
675,Chemistry,MIT,Bachelors
676,Data Science,BU,Masters
677,Business,Brandeis,Bachelors
678,CS,Northeastern,Masters
679,Other,MIT,Masters
680,Business,Northeastern,Masters
681,CS,Northeastern,Masters
682,CS,Northeastern,Masters
683,CS,Northeastern,Masters
684,CS,Northeastern,Masters
685,Other,Northeastern,Masters
686,Other,Northeastern,Masters
687,CS,NYU,Masters
688,CS,Northeastern,Masters
689,Other,Northeastern,Masters
690,Law,Northeastern,Masters
691,CS,Other,Masters
692,Other,BU,Masters
693,CS,NYU,Other
694,Biology,Dartmouth,PhD
695,Biology,Other,PhD
696,Other,MIT,PhD
697,CS,Other,Masters
698,Business,Brandeis,Bachelors
699,CS,Northeastern,Masters
700,Business,NYU,Masters
701,AI,Northeastern,Masters
702,Other,Other,Masters
703,Biology,Other,Postdoc
704,Other,Northeastern,Masters
705,Data Science,Northeastern,Masters
706,CS,Northeastern,Masters
707,CS,BU,Masters
708,Other,Northeastern,Masters
709,CS,Northeastern,Masters
710,AI,MIT,Bachelors
711,Civil Eng,Tufts,PhD
712,CS,NYU,Masters
713,Other,Other,Bachelors
714,Biology,Tufts,Bachelors
715,CS,Northeastern,Bachelors
716,Data Science,BU,Masters
717,CS,BU,Masters
718,Other,Tufts,PhD
719,AI,Northeastern,Masters
720,CS,Northeastern,Masters
721,CS,Northeastern,Masters
722,CS,Northeastern,Masters
723,Data Science,Northeastern,Masters
724,CS,Other,Masters
725,Mechanical Eng,MIT,Bachelors
726,CS,Northeastern,Masters
727,Other,Other,Other
728,CS,Northeastern,Masters
729,Data Science,Northeastern,Masters
730,Mechanical Eng,MIT,Bachelors
731,Data Science,Northeastern,Masters
732,Other,Other,PhD
733,Other,BU,Bachelors
734,CS,Northeastern,Masters
735,Data Science,Northeastern,Masters
736,CS,Northeastern,Masters
737,Other,Northeastern,Masters
738,CS,Northeastern,Masters
739,CS,Northeastern,Masters
740,CS,Northeastern,Masters
741,CS,Northeastern,Masters
742,CS,Northeastern,Masters
743,Other,Other,Bachelors
744,AI,Northeastern,Masters
745,Data Science,Northeastern,Masters
746,CS,BU,Masters
747,CS,Northeastern,Masters
748,Industrial Eng,Northeastern,Masters
749,Data Science,Northeastern,Masters
750,Data Science,Northeastern,Masters
751,Data Science,Northeastern,Masters
752,Data Science,Northeastern,Masters
753,CS,Northeastern,Masters
754,CS,Northeastern,Masters
755,CS,Northeastern,Masters
756,CS,Northeastern,Masters
757,Data Science,Northeastern,Masters
758,Other,Northeastern,Masters
759,Business,Northeastern,Masters
760,Data Science,Northeastern,Masters
761,Business,Northeastern,Masters
762,Business,Northeastern,Masters
763,Data Science,Northeastern,Masters
764,CS,Northeastern,Masters
765,CS,Northeastern,Masters
766,CS,Northeastern,Masters
767,Other,Northeastern,Masters
768,Other,Other,Masters
769,AI,Northeastern,Masters
770,CS,Northeastern,Masters
771,CS,Northeastern,Masters
772,Other,NYU,Masters
773,CS,Northeastern,Masters
774,CS,Northeastern,Masters
775,CS,Northeastern,Masters
776,CS,Northeastern,Masters
777,Business,Northeastern,Masters
778,CS,Northeastern,Masters
779,CS,Northeastern,Masters
780,Industrial Eng,Northeastern,Masters
781,Industrial Eng,Northeastern,Masters
782,Data Science,Northeastern,Masters
783,Data Science,Northeastern,Masters
784,CS,Northeastern,Masters
785,Other,Other,Other
786,Biology,Other,Bachelors
787,CS,MIT,Bachelors
788,Other,Other,Postdoc
789,Business,NYU,Masters
790,AI,MIT,Bachelors
791,Other,BU,PhD
792,Other,MIT,Masters
793,Other,NYU,Bachelors
794,Materials,Other,PhD
795,Business,MIT,MBA
796,Finance,Other,Bachelors
797,Business,Other,MBA
798,Business,MIT,MBA
799,AI,MIT,Bachelors
800,CS,Smith,Other
801,Business,BU,Bachelors
802,Biology,Other,PhD
803,Other,Other,Masters
